englishClass\34.png → 34.webp | Saved 2698468 bytes (95.8%)
englishClass\35.png → 35.webp | Saved 2698468 bytes (95.8%)
englishClass\36.png → 36.webp | Saved 2698468 bytes (95.8%)
englishClass\37.png → 37.webp | Saved 2754861 bytes (93.4%)
englishClass\38.png → 38.webp | Saved 2754861 bytes (93.4%)
englishClass\4.png → 4.webp | Saved 2406490 bytes (94.8%)
englishClass\5.png → 5.webp | Saved 2404563 bytes (94.9%)
englishClass\6.png → 6.webp | Saved 2405037 bytes (94.8%)
englishClass\7.png → 7.webp | Saved 2404563 bytes (94.9%)
englishClass\8.png → 8.webp | Saved 2403485 bytes (96.2%)
englishClass\9.png → 9.webp | Saved 2406490 bytes (94.8%)
historyClass\1.png → 1.webp | Saved 2563484 bytes (95.5%)
historyClass\10.png → 10.webp | Saved 2557679 bytes (95.5%)
historyClass\11.png → 11.webp | Saved 2214263 bytes (95.9%)
historyClass\12.png → 12.webp | Saved 2557679 bytes (95.5%)
historyClass\13.png → 13.webp | Saved 2214263 bytes (95.9%)
historyClass\14.png → 14.webp | Saved 2557679 bytes (95.5%)
historyClass\15.png → 15.webp | Saved 2659560 bytes (95.5%)
historyClass\2.png → 2.webp | Saved 2557679 bytes (95.5%)
historyClass\3.png → 3.webp | Saved 2433284 bytes (96.4%)
historyClass\4.png → 4.webp | Saved 2557679 bytes (95.5%)
historyClass\5.png → 5.webp | Saved 2214263 bytes (95.9%)
historyClass\6.png → 6.webp | Saved 2235819 bytes (95.7%)
historyClass\7.png → 7.webp | Saved 2235819 bytes (95.7%)
historyClass\8.png → 8.webp | Saved 2235819 bytes (95.7%)
historyClass\9.png → 9.webp | Saved 2557679 bytes (95.5%)
ignoreDoris\1.png → 1.webp | Saved 2703073 bytes (95.5%)
ignoreDoris\10.png → 10.webp | Saved 2391732 bytes (94.3%)
ignoreDoris\11.png → 11.webp | Saved 2397281 bytes (94.3%)
ignoreDoris\12.png → 12.webp | Saved 2397281 bytes (94.3%)
